PASSENGERS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN,DEST,AIRCRAFT_TYPE,MONTH
2595.00,NK,Spirit Air Lines,MIA,DTW,694,1
2595.00,WN,Southwest Airlines Co.,SRQ,CMH,614,1
2596.00,MQ,Envoy Air,DFW,ELP,673,1
2596.00,QX,Horizon Air,OAK,PDX,673,1
2597.00,9E,Endeavor Air Inc.,LGA,GSO,638,1
2597.00,B6,JetBlue Airways,ROC,JFK,678,1
2597.00,NK,Spirit Air Lines,DTW,LGA,698,1
2597.00,NK,Spirit Air Lines,RSW,DTW,699,1
2597.00,OO,SkyWest Airlines Inc.,IAH,OKC,673,1
2598.00,F9,Frontier Airlines Inc.,DEN,RSW,722,1
2598.00,G4,Allegiant Air,FWA,PGD,694,1
2599.00,AA,American Airlines Inc.,CLE,DFW,694,1
2599.00,WN,Southwest Airlines Co.,IND,LAS,614,1
2600.00,AA,American Airlines Inc.,JFK,EGE,698,1
2601.00,AA,American Airlines Inc.,PHX,PDX,698,1
2601.00,OH,PSA Airlines Inc.,PHL,DTW,638,1
2601.00,WN,Southwest Airlines Co.,HOU,MIA,614,1
2602.00,NK,Spirit Air Lines,OAK,LAX,722,1
2602.00,OO,SkyWest Airlines Inc.,ORD,DTW,638,1
2603.00,WN,Southwest Airlines Co.,MIA,DAL,612,1
2603.00,YV,Mesa Airlines Inc.,CVG,IAH,673,1
2604.00,PT,Piedmont Airlines,BGR,PHL,675,1
2604.00,YV,Mesa Airlines Inc.,PIA,DFW,638,1
2605.00,UA,United Air Lines Inc.,LAS,IAH,838,1
2605.00,WN,Southwest Airlines Co.,DAL,BUR,612,1
2605.00,YX,Republic Airline,PIT,JFK,673,1
2606.00,UA,United Air Lines Inc.,RNO,DEN,888,1
2606.00,UA,United Air Lines Inc.,SFO,IAD,839,1
2606.00,WN,Southwest Airlines Co.,BWI,SAT,614,1
2607.00,NK,Spirit Air Lines,MCO,PIT,722,1
2607.00,WN,Southwest Airlines Co.,IND,PHX,614,1
2607.00,YX,Republic Airline,CHS,EWR,677,1
2608.00,YX,Republic Airline,LGA,BNA,673,1
2609.00,F9,Frontier Airlines Inc.,CLE,LAS,722,1
2609.00,NK,Spirit Air Lines,IND,LAS,694,1
2609.00,NK,Spirit Air Lines,MCO,MSY,694,1
2609.00,OO,SkyWest Airlines Inc.,RNO,SLC,673,1
2610.00,DL,Delta Air Lines Inc.,ATL,LEX,608,1
2610.00,WN,Southwest Airlines Co.,BNA,MDW,614,1
2610.00,YX,Republic Airline,PWM,DCA,673,1
2611.00,AS,Alaska Airlines Inc.,SFO,DCA,721,1
2611.00,ZW,Air Wisconsin Airlines Corp,ORD,CAK,629,1
2612.00,WN,Southwest Airlines Co.,BOI,DEN,612,1
2613.00,DL,Delta Air Lines Inc.,JFK,PHX,888,1
2613.00,WN,Southwest Airlines Co.,MEM,MDW,612,1
2614.00,AS,Alaska Airlines Inc.,DAL,SEA,694,1
2614.00,MQ,Envoy Air,DCA,CVG,673,1
2614.00,NK,Spirit Air Lines,BNA,FLL,694,1
2614.00,WN,Southwest Airlines Co.,SLC,OAK,614,1
2614.00,YX,Republic Airline,EWR,PIT,673,1
2616.00,9X,"Southern Airways Express, dba Mokulele Airlines",MKK,OGG,416,1
2616.00,WN,Southwest Airlines Co.,BWI,DTW,614,1
2616.00,YV,Mesa Airlines Inc.,IAH,TUS,673,1
2617.00,YV,Mesa Airlines Inc.,BOI,PHX,638,1
2617.00,YV,Mesa Airlines Inc.,SDF,IAH,673,1
2618.00,UA,United Air Lines Inc.,DEN,DFW,698,1
